               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 108,            0.022706,           0.0091363,          0.00059311,             0.95589,             0.95017,              0.9737,             0.73612,            0.020407,           0.0037563,          0.00015323,           0.0047035,           0.0047035,           0.0047035
                 109,            0.022228,           0.0089311,          0.00045455,             0.95337,             0.95067,             0.97354,             0.73661,            0.020406,           0.0037559,          0.00016134,            0.004654,            0.004654,            0.004654
                 110,            0.022257,           0.0089461,          0.00030348,              0.9534,             0.94932,             0.97404,              0.7373,            0.020393,           0.0037573,          0.00016345,           0.0046045,           0.0046045,           0.0046045
                 111,            0.022559,           0.0089737,          0.00042431,             0.95467,              0.9514,             0.97436,             0.73819,            0.020358,           0.0037521,          0.00016507,            0.004555,            0.004555,            0.004555
                 112,            0.022332,            0.008901,          0.00036737,             0.95575,             0.95198,             0.97429,              0.7389,            0.020344,           0.0037508,          0.00017291,           0.0045055,           0.0045055,           0.0045055
                 113,            0.022301,           0.0089994,          0.00038396,             0.95573,             0.95242,              0.9748,              0.7396,             0.02036,           0.0037499,          0.00017001,            0.004456,            0.004456,            0.004456
                 114,            0.022117,           0.0088832,          0.00038258,               0.956,             0.95308,             0.97521,             0.73831,            0.020342,           0.0037477,          0.00017312,           0.0044065,           0.0044065,           0.0044065
                 115,            0.021917,           0.0088375,          0.00037398,              0.9558,             0.95403,             0.97531,             0.73913,            0.020336,           0.0037456,          0.00018086,            0.004357,            0.004357,            0.004357
                 116,            0.022161,           0.0089586,          0.00033667,             0.95539,             0.95686,             0.97492,             0.73993,            0.020334,           0.0037433,          0.00017503,           0.0043075,           0.0043075,           0.0043075
                 117,            0.022104,           0.0088998,          0.00040215,             0.95399,             0.95525,             0.97505,             0.74027,            0.020308,           0.0037393,          0.00017408,            0.004258,            0.004258,            0.004258
                 118,            0.021939,             0.00892,          0.00041415,             0.95476,             0.95687,             0.97541,             0.74054,            0.020304,           0.0037362,          0.00017801,           0.0042085,           0.0042085,           0.0042085
                 119,            0.021919,           0.0087639,          0.00031621,              0.9528,             0.95679,              0.9753,             0.74098,            0.020299,           0.0037324,          0.00018354,            0.004159,            0.004159,            0.004159
                 120,             0.02176,           0.0086191,          0.00037083,             0.95521,             0.95097,             0.97519,              0.7415,            0.020281,           0.0037287,          0.00018369,           0.0041095,           0.0041095,           0.0041095
                 121,            0.021873,           0.0087985,          0.00030193,             0.95799,             0.95174,             0.97518,             0.74114,            0.020279,           0.0037273,          0.00018211,             0.00406,             0.00406,             0.00406
                 122,            0.021827,           0.0087602,          0.00035552,             0.96072,             0.94939,             0.97506,             0.74151,            0.020282,           0.0037275,          0.00018335,           0.0040105,           0.0040105,           0.0040105
                 123,            0.021755,           0.0087924,           0.0003062,              0.9599,             0.95033,             0.97496,             0.74138,            0.020289,           0.0037289,          0.00018207,            0.003961,            0.003961,            0.003961
                 124,            0.021707,           0.0086001,          0.00033615,             0.95795,             0.95081,             0.97426,             0.74095,            0.020299,           0.0037291,          0.00018167,           0.0039115,           0.0039115,           0.0039115
                 125,            0.021557,           0.0087677,          0.00034338,             0.95631,             0.95464,             0.97487,             0.74161,            0.020293,           0.0037309,          0.00017973,            0.003862,            0.003862,            0.003862
                 126,            0.021538,           0.0087317,            0.000402,             0.95493,             0.95512,             0.97402,              0.7416,            0.020274,           0.0037316,          0.00017826,           0.0038125,           0.0038125,           0.0038125
